id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape
1;homeschool;whether;ack;wire council;less mediocre chime;well;legitimize plan;woot braid;2025-05-29;2025-05-30;2025-05-29;narrow overstay;antagonize;2025-05-29;2025-05-30;wherever;astride fervently;overheard coin so;traditionalism;longboat pro above;modulo;meh giving yuck;tomorrow athletic
2;sans regarding;junior;psst once;quick however;next;plus allegation;plus gerbil whoa;below inasmuch questionably;2025-05-30;2025-05-29;2025-05-30;than;hmph;2025-05-29;2025-05-30;through although;only;failing repossess;wolf;phew planula as;farm;oh silently;esteemed
3;crank excluding;amused weird testify;vaguely gracefully;sans behold ectoderm;why honesty;state instruction immediately;infamous yippee;usher equally via;2025-05-30;2025-05-29;2025-05-29;hm;forenenst;2025-05-29;2025-05-29;that fooey whether;through rosemary battle;aha slipper;swiftly director live;minor um mmm;astride sharply;draft;ah
4;instance in now;basic now obligation;symbolise decongestant via;huzzah quick nor;and outside what;even;in;rim idolized;2025-05-29;2025-05-29;2025-05-29;short unaccountably;mythology;2025-05-29;2025-05-29;merit;before mid;atop;since;probe;oof;absent;indeed
5;intrepid furthermore;meh huzzah;pure beneath;gradient peony;jive refer;endow;hmph;hm indeed burly;2025-05-30;2025-05-29;2025-05-29;whether distinction endow;since;2025-05-29;2025-05-30;jaggedly;ah blah;pfft sudden;strong anti;source though;extra-large oh;fondly goodwill wherever;back cease
6;above;if a curl;kookily;gee annual;though;desecrate trek founder;per CD;gah outside;2025-05-29;2025-05-30;2025-05-29;if furiously expatiate;barracks;2025-05-29;2025-05-29;cope briefly noisily;inquisitively more whoa;deeply but academics;atrium keenly out;cross who vacantly;habit fit;uniform seemingly;alongside notwithstanding
7;produce amid although;gee;nicely boo jiggle;wisely pish patroller;swathe;circa once;that;major;2025-05-29;2025-05-29;2025-05-30;gee;geez hm if;2025-05-29;2025-05-29;huzzah;zowie at part;veto fly until;whereas row when;hmph;properly;plus livid;receptor
8;a;unto above;than ruddy clearly;till athwart;oddly amid;meanwhile;horse pivot;assist;2025-05-29;2025-05-29;2025-05-29;boldly how carelessly;prickly throughout pro;2025-05-29;2025-05-30;necessary;charming once;before where debut;dearly acquaintance;across whale;excluding positively;gurn ultimately once;needily boo
9;out;atop;pish given government;helpfully slather;for;huzzah although yahoo;reboot;yahoo aboard;2025-05-29;2025-05-30;2025-05-29;openly veto;ugh ew;2025-05-30;2025-05-29;ferociously reprove healthily;agreeable dead cram;wry;gadzooks;ouch midst or;surprisingly store grave;yuck;to knowingly including
10;eek unnecessarily;duh;pfft yet;whose ripe outside;vary minus how;uh-huh;lighthearted making;except inasmuch;2025-05-29;2025-05-29;2025-05-30;mmm save expatiate;by whenever hence;2025-05-30;2025-05-29;testify;atop whereas;scent;general now;iterate furthermore meh;hungrily dowse;dime;pushy
