id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic
1;ack hopelessly;pro the;meh mixture desk;tough only see;butter;major pip through;fuss sedately;nucleotidase upon;2025-05-29;2025-05-29;2025-05-29;before gosh presell;ew testimonial yearly;entire tag;2025-05-29;2025-05-29;rowdy fooey;yuck guard;though;next suckle;justly;nocturnal
2;euphonium;reorient;grandpa ah tune-up;abaft beautifully proper;ingratiate what tightly;drat er preclude;worth circular and;vague;2025-05-30;2025-05-29;2025-05-30;joyfully wherever roughly;since vacantly;dimly;2025-05-29;2025-05-29;swiftly likewise;furthermore;faithfully;even;glorious repurpose wasteful;bravely
3;forgery;into pastel;fork jittery upbeat;so;following alarmed;oof;rare;ouch;2025-05-30;2025-05-29;2025-05-29;ultimately instead shy;pish till guard;godfather unless regulate;2025-05-29;2025-05-29;pigsty er including;above;who;athwart;like;promise and gifted
4;exhaust gee meh;vestment;coolly hundred;recede;formula solution ack;sway pro how;store if subtle;brood molasses tremendously;2025-05-29;2025-05-29;2025-05-29;hope than replicate;hence adumbrate successfully;confound;2025-05-29;2025-05-29;beneath;abnormally evenly greedily;regarding minority;fully anenst;handover;of
5;oof;judicious perfectly;throughout upside-down;carpool;oh upon;alliance warmhearted hm;heavily with;scout er;2025-05-29;2025-05-29;2025-05-30;physically but;though yum low;elderly between;2025-05-30;2025-05-29;paintwork into whoever;qualified forenenst helpless;misappropriate swerve blah;faraway sate oil;consequently insidious;sand limp godparent
6;tabletop;fooey across whitewash;quarrelsome;aha oh reasoning;into whoever huzzah;questioningly;before;brr familiarize outrun;2025-05-29;2025-05-29;2025-05-30;glaring unaccountably nifty;cautiously supposing;qua;2025-05-29;2025-05-30;dampen nearly;proofread;geez inside bashfully;wonderful neatly ick;phooey;between why
7;psst actually gulp;interior;below;inasmuch small row;yuck since;next distant;wherever character nervous;abaft;2025-05-30;2025-05-29;2025-05-29;readily;calmly;plain engender furthermore;2025-05-29;2025-05-29;perky astride;perfection;remarkable list damaged;haze valiantly if;dredger manner cosset;bliss jovially
8;cleverly;mmm focused;daintily;duh under but;lack secularize unless;obediently;electrify into;far likable outgoing;2025-05-29;2025-05-29;2025-05-30;negative;along apropos basket;but lounge lasting;2025-05-29;2025-05-30;furthermore westernise alongside;sedately but hello;wildly jealously;underneath versus polyester;merrily wonderfully;fork repurpose
9;questioningly;dusk husky kindheartedly;outside impure sadly;solution mask unless;volleyball midwife;once;sympathetically;paralyse ugh whenever;2025-05-30;2025-05-29;2025-05-30;if amidst;when quaver sadly;along till lox;2025-05-29;2025-05-29;substitution;powerfully athletic unaccountably;whose zowie;filter deliberately on;until;hygienic storyboard smarten
10;sizzling sheepishly considering;heavily ha;esteemed;alive;eyeliner why;of;versus phew judgementally;till gee once;2025-05-29;2025-05-30;2025-05-29;aha habit;after perspire diligently;whoa;2025-05-30;2025-05-30;closely;enlightened than;viciously midst categorise;quit than um;curiously forsaken couch;suddenly
