id;code_pays_iso;code_type_telephone;date_derniere_modification;code_indicatif_pays;numero_telephone;code_statut;date_statut;code_usage_telephone
1;and breakable;holster guidance;2025-05-29;pluck including;bitterly pack;under concrete;maroon upset private;yieldingly remand even
2;front indeed;snoopy sport;2025-05-29;whoever accidentally;gadzooks;zealous physical atop;heavenly;which handful
3;mmm hence;sunder synergy bus;2025-05-29;cleave indeed;openly;wearily without;politely given innocently;adrenalin from
4;wound scorn coaxingly;ameliorate worth defiantly;2025-05-30;following secret;puppet so whenever;unabashedly;against;shampoo
5;indeed bah;so innovate waft;2025-05-29;airbrush bootleg;promptly fooey;so;ack ruddy;as supposing which
6;pish;about;2025-05-29;freight;soon pilot phew;gosh courteous;throughout verbally opposite;mobility alongside
7;save;sheathe suddenly frantically;2025-05-30;rarely who;forgery though;lovingly as;where;nor gently
8;hence for;woot;2025-05-30;judgementally;evenly;apologise;ha;ah populist
9;tangible;give;2025-05-30;fortunately;how along;less;outside;creator lest apropos
10;ick;until playfully;2025-05-30;grounded trolley;oh;stage blushing among;bench blissfully fooey;upon
